7a64efac-5f45-4044-8c90-20d3781129a6,70cb1864-80db-41d6-8655-327233564686,manish,manish,10/10/1995,654,manish,manish
1e6dc3df-d962-466d-a2b5-52a5f9cc033b,7b0e04bc-ada7-47eb-a7a8-eefaa356463a,sach,sach,12/17/2020,567,sach,sach
8ccfaf22-36e7-4a42-b865-ae7b04ba59c6,773adfae-1e5d-4e31-a0f7-c3ca0d2adab6,sach,sach,12/17/2020,938,sach,sach
a03ce6a8-531a-476d-abe6-90c7dfba4756,16c5c24a-af74-4cd2-808c-3d53beb777fe,sach,sach,12/17/2020,354,sach,sach
<<<<<<< HEAD
41843db0-2222-41f6-8279-10b81ec2e2e5,7771547e-817c-49ea-8559-9fcd906760f5,Sachin,sach,11/23/1995,12345,sachin@gmail.com,Sachin@123
=======
625f5cc9-9baf-496c-8947-3ccc34cf02eb,c14ff9a5-77f4-496c-abcc-b02e64eb4d96,manish,1234,08/15/1996,12345678,mr@mr,manishr
a4e355c8-f909-4c70-8381-28890955a560,e050cb6d-89ae-46e0-88a0-f1f79cf21f0a,manish,123456,08/15/1996,123456,mr@mr,manishr
98c2966b-4166-4c9e-bd8b-d57cfb3a12e2,8fac5684-66e2-4cb2-9144-bd2e7ae42ca1,manishr,1234,08/15/1996,12345678,mrr@mr,mmmmmm
0b0295ad-e23e-4aea-8574-8f65469f44aa,4d354eb6-a098-4b47-8a9a-588747de88f5,manish_r,123456,08/15/1996,1234567890,mr@mr2,manishr
>>>>>>> a969e5517b4893fdc68b087c73b8b0f70ee96992
